City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
465,Kutum,SD,74.46,14.2,24.67,Dibbo areaمنطقة دبو
466,Yumen,CN,72.64,40.28,97.2,
468,Ust-Nera,RU,80.82,64.57,143.2,Hotel Ust-Nera
470,Kuching,MY,84.2,1.55,110.33,Hilton Kuching
472,Pundaguitan,PH,83.91,6.37,126.17,Leonardo Family Beach House 1
473,Grants,US,84.2,35.15,-107.85,"Motel 6 Grants, NM"
477,Popondetta,PG,88.57,-8.75,148.25,Timos Transit House
481,Makakilo City,US,84.2,21.35,-158.09,Marriott's Ko Olina Beach Club
482,Yarmouth,US,70.0,41.71,-70.23,The Inn At Cape Cod
484,Sao Joao Da Barra,BR,71.6,-21.64,-41.05,Pousada Porto De Canoas
